Bundesland,date,confirmed,deaths
Baden-Württemberg,2020-03-14 21:00:00,569,2
Bayern,2020-03-14 21:00:00,681,1
Berlin,2020-03-14 21:00:00,216,
Brandenburg,2020-03-14 21:00:00,61,
Bremen,2020-03-14 21:00:00,50,
Hamburg,2020-03-14 21:00:00,158,
Hessen,2020-03-14 21:00:00,203,
Mecklenburg-Vorpommern,2020-03-14 21:00:00,45,
Niedersachsen,2020-03-14 21:00:00,253,
Nordrhein-Westfalen,2020-03-14 21:00:00,1154,5
Rheinland-Pfalz,2020-03-14 21:00:00,121,
Saarland,2020-03-14 21:00:00,40,
Sachsen,2020-03-14 21:00:00,93,
Sachsen-Anhalt,2020-03-14 21:00:00,45,
Schleswig-Holstein,2020-03-14 21:00:00,60,
Thüringen,2020-03-14 21:00:00,46,
Gesamt,2020-03-14 21:00:00,3.795,8
