,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-25 12:00:00,6069,37.0
1,Bayern,2020-03-25 12:00:00,6558,37.0
2,Berlin,2020-03-25 12:00:00,1428,2.0
3,Brandenburg,2020-03-25 12:00:00,429,1.0
4,Bremen,2020-03-25 12:00:00,200,
5,Hamburg,2020-03-25 12:00:00,1262,
6,Hessen,2020-03-25 12:00:00,1754,4.0
7,Mecklenburg-Vor­pommern,2020-03-25 12:00:00,218,
8,Niedersachsen,2020-03-25 12:00:00,2140,7.0
9,Nordrhein-West­falen,2020-03-25 12:00:00,7197,43.0
10,Rhein­land-Pfalz,2020-03-25 12:00:00,1591,5.0
11,Saarland,2020-03-25 12:00:00,403,2.0
12,Sachsen,2020-03-25 12:00:00,959,6.0
13,Sachsen-Anhalt,2020-03-25 12:00:00,375,1.0
14,Schles­wig-Holstein,2020-03-25 12:00:00,577,3.0
15,Thüringen,2020-03-25 12:00:00,394,1.0
16,Gesamt,2020-03-25 12:00:00,31554,149.0
