,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-27 18:00:00,8161,70.0
1,Bayern,2020-03-27 18:00:00,9481,55.0
2,Berlin,2020-03-27 18:00:00,1955,8.0
3,Brandenburg,2020-03-27 18:00:00,537,1.0
4,Bremen,2020-03-27 18:00:00,241,1.0
5,Hamburg,2020-03-27 18:00:00,1693,2.0
6,Hessen,2020-03-27 18:00:00,2323,7.0
7,Mecklenburg-Vor­pommern,2020-03-27 18:00:00,259,
8,Niedersachsen,2020-03-27 18:00:00,2810,10.0
9,Nordrhein-West­falen,2020-03-27 18:00:00,9235,72.0
10,Rhein­land-Pfalz,2020-03-27 18:00:00,1971,8.0
11,Saarland,2020-03-27 18:00:00,505,2.0
12,Sachsen,2020-03-27 18:00:00,1305,7.0
13,Sachsen-Anhalt,2020-03-27 18:00:00,458,2.0
14,Schles­wig-Holstein,2020-03-27 18:00:00,812,4.0
15,Thüringen,2020-03-27 18:00:00,542,4.0
16,Gesamt,2020-03-27 18:00:00,42288,253.0
