,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-30 18:00:00,10943,119
1,Bayern,2020-03-30 18:00:00,13989,127
2,Berlin,2020-03-30 18:00:00,2464,11
3,Brandenburg,2020-03-30 18:00:00,761,2
4,Bremen,2020-03-30 18:00:00,286,2
5,Hamburg,2020-03-30 18:00:00,2053,5
6,Hessen,2020-03-30 18:00:00,3091,13
7,Mecklenburg-Vor­pommern,2020-03-30 18:00:00,356,1
8,Niedersachsen,2020-03-30 18:00:00,3732,26
9,Nordrhein-West­falen,2020-03-30 18:00:00,12178,101
10,Rhein­land-Pfalz,2020-03-30 18:00:00,2584,18
11,Saarland,2020-03-30 18:00:00,706,7
12,Sachsen,2020-03-30 18:00:00,1795,9
13,Sachsen-Anhalt,2020-03-30 18:00:00,592,2
14,Schles­wig-Holstein,2020-03-30 18:00:00,1049,7
15,Thüringen,2020-03-30 18:00:00,719,5
16,Gesamt,2020-03-30 18:00:00,57298,455
