,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-24 18:00:00,5348,30.0
1,Bayern,2020-03-24 18:00:00,5754,30.0
2,Berlin,2020-03-24 18:00:00,1220,1.0
3,Brandenburg,2020-03-24 18:00:00,343,
4,Bremen,2020-03-24 18:00:00,183,
5,Hamburg,2020-03-24 18:00:00,1043,
6,Hessen,2020-03-24 18:00:00,1620,4.0
7,Mecklenburg-Vor­pommern,2020-03-24 18:00:00,199,
8,Niedersachsen,2020-03-24 18:00:00,1764,6.0
9,Nordrhein-West­falen,2020-03-24 18:00:00,6318,33.0
10,Rhein­land-Pfalz,2020-03-24 18:00:00,1370,5.0
11,Saarland,2020-03-24 18:00:00,337,1.0
12,Sachsen,2020-03-24 18:00:00,811,1.0
13,Sachsen-Anhalt,2020-03-24 18:00:00,321,
14,Schles­wig-Holstein,2020-03-24 18:00:00,478,2.0
15,Thüringen,2020-03-24 18:00:00,327,1.0
16,Gesamt,2020-03-24 18:00:00,27436,114.0
