,Bundesland,date,confirmed,deaths
0,Baden-Württemberg,2020-03-20 15:08:00,2746,10
1,Bayern,2020-03-20 15:08:00,2401,12
2,Berlin,2020-03-20 15:08:00,731,0
3,Brandenburg,2020-03-20 15:08:00,192,0
4,Bremen,2020-03-20 15:08:00,121,0
5,Hamburg,2020-03-20 15:08:00,586,0
6,Hessen,2020-03-20 15:08:00,813,1
7,Mecklenburg-Vorpommern,2020-03-20 15:08:00,131,0
8,Niedersachsen,2020-03-20 15:08:00,803,0
9,Nordrhein-Westfalen,2020-03-20 15:08:00,3497,6
10,Rheinland-Pfalz,2020-03-20 15:08:00,801,1
11,Saarland,2020-03-20 15:08:00,146,0
12,Sachsen,2020-03-20 15:08:00,394,0
13,Sachsen-Anhalt,2020-03-20 15:08:00,180,0
14,Schleswig-Holstein,2020-03-20 15:08:00,266,1
15,Thüringen,2020-03-20 15:08:00,149,0
16,Gesamt,2020-03-20 15:08:00,13957,31
