,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-29 21:00:00,9794,101
1,Bayern,2020-03-29 21:00:00,12881,107
2,Berlin,2020-03-29 21:00:00,2360,9
3,Brandenburg,2020-03-29 21:00:00,721,1
4,Bremen,2020-03-29 21:00:00,275,2
5,Hamburg,2020-03-29 21:00:00,1846,4
6,Hessen,2020-03-29 21:00:00,2605,9
7,Mecklenburg-Vor­pommern,2020-03-29 21:00:00,348,1
8,Niedersachsen,2020-03-29 21:00:00,3450,21
9,Nordrhein-West­falen,2020-03-29 21:00:00,11400,98
10,Rhein­land-Pfalz,2020-03-29 21:00:00,2396,12
11,Saarland,2020-03-29 21:00:00,560,2
12,Sachsen,2020-03-29 21:00:00,1617,9
13,Sachsen-Anhalt,2020-03-29 21:00:00,592,2
14,Schles­wig-Holstein,2020-03-29 21:00:00,1005,6
15,Thüringen,2020-03-29 21:00:00,697,5
16,Gesamt,2020-03-29 21:00:00,52547,389
