,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-28 13:10:00,9781,101.0
1,Bayern,2020-03-28 13:10:00,11150,77.0
2,Berlin,2020-03-28 13:10:00,2161,8.0
3,Brandenburg,2020-03-28 13:10:00,645,1.0
4,Bremen,2020-03-28 13:10:00,260,2.0
5,Hamburg,2020-03-28 13:10:00,1765,2.0
6,Hessen,2020-03-28 13:10:00,2604,9.0
7,Mecklenburg-Vor­pommern,2020-03-28 13:10:00,308,
8,Niedersachsen,2020-03-28 13:10:00,3150,12.0
9,Nordrhein-West­falen,2020-03-28 13:10:00,10607,80.0
10,Rhein­land-Pfalz,2020-03-28 13:10:00,2212,11.0
11,Saarland,2020-03-28 13:10:00,550,2.0
12,Sachsen,2020-03-28 13:10:00,1432,9.0
13,Sachsen-Anhalt,2020-03-28 13:10:00,458,2.0
14,Schles­wig-Holstein,2020-03-28 13:10:00,915,4.0
15,Thüringen,2020-03-28 13:10:00,584,5.0
16,Gesamt,2020-03-28 13:10:00,48582,325.0
