,Bundesland,date,confirmed,deaths
0,Baden-Württemberg,2020-04-01 21:09:00,13410,197
1,Bayern,2020-04-01 21:09:00,16497,225
2,Berlin,2020-04-01 21:09:00,2754,16
3,Brandenburg,2020-04-01 21:09:00,881,4
4,Bremen,2020-04-01 21:09:00,311,5
5,Hamburg,2020-04-01 21:09:00,2311,14
6,Hessen,2020-04-01 21:09:00,3445,21
7,Mecklenburg-Vorpommern,2020-04-01 21:09:00,406,3
8,Niedersachsen,2020-04-01 21:09:00,4382,42
9,Nordrhein-Westfalen,2020-04-01 21:09:00,14351,134
10,Rheinland-Pfalz,2020-04-01 21:09:00,2899,23
11,Saarland,2020-04-01 21:09:00,829,8
12,Sachsen,2020-04-01 21:09:00,2034,17
13,Sachsen-Anhalt,2020-04-01 21:09:00,750,7
14,Schleswig-Holstein,2020-04-01 21:09:00,1246,10
15,Thüringen,2020-04-01 21:09:00,860,6
16,Gesamt,2020-04-01 21:09:00,67366,732
