,Bundesland,date,confirmed,deaths
0,Baden-Württemberg,2020-03-18 20:37:00,1.609,2
1,Bayern,2020-03-18 20:37:00,1.243,4
2,Berlin,2020-03-18 20:37:00,391.0,0
3,Brandenburg,2020-03-18 20:37:00,92.0,0
4,Bremen,2020-03-18 20:37:00,69.0,0
5,Hamburg,2020-03-18 20:37:00,358.0,0
6,Hessen,2020-03-18 20:37:00,432.0,0
7,Mecklenburg-Vorpommern,2020-03-18 20:37:00,56.0,0
8,Niedersachsen,2020-03-18 20:37:00,478.0,0
9,Nordrhein-Westfalen,2020-03-18 20:37:00,2.372,6
10,Rheinland-Pfalz,2020-03-18 20:37:00,474.0,0
11,Saarland,2020-03-18 20:37:00,88.0,0
12,Sachsen,2020-03-18 20:37:00,198.0,0
13,Sachsen-Anhalt,2020-03-18 20:37:00,105.0,0
14,Schleswig-Holstein,2020-03-18 20:37:00,159.0,0
15,Thüringen,2020-03-18 20:37:00,74.0,0
16,Gesamt,2020-03-18 20:37:00,8.198,12
