,Bundesland,date,confirmed,deaths
0,Baden-Württemberg,2020-03-19 14:00:00,2155,6
1,Bayern,2020-03-19 14:00:00,1692,8
2,Berlin,2020-03-19 14:00:00,573,0
3,Brandenburg,2020-03-19 14:00:00,134,0
4,Bremen,2020-03-19 14:00:00,80,0
5,Hamburg,2020-03-19 14:00:00,432,0
6,Hessen,2020-03-19 14:00:00,682,0
7,Mecklenburg-Vorpommern,2020-03-19 14:00:00,98,0
8,Niedersachsen,2020-03-19 14:00:00,669,0
9,Nordrhein-Westfalen,2020-03-19 14:00:00,3033,6
10,Rheinland-Pfalz,2020-03-19 14:00:00,637,0
11,Saarland,2020-03-19 14:00:00,99,0
12,Sachsen,2020-03-19 14:00:00,275,0
13,Sachsen-Anhalt,2020-03-19 14:00:00,140,0
14,Schleswig-Holstein,2020-03-19 14:00:00,202,0
15,Thüringen,2020-03-19 14:00:00,98,0
16,Gesamt,2020-03-19 14:00:00,10999,20
