Bundesland,date,confirmed,deaths
Baden-Württemberg,2020-03-13 21:00:00,454,1
Bayern,2020-03-13 21:00:00,558,1
Berlin,2020-03-13 21:00:00,174,
Brandenburg,2020-03-13 21:00:00,44,
Bremen,2020-03-13 21:00:00,42,
Hamburg,2020-03-13 21:00:00,99,
Hessen,2020-03-13 21:00:00,148,
Mecklenburg-Vorpommern,2020-03-13 21:00:00,33,
Niedersachsen,2020-03-13 21:00:00,230,
Nordrhein-Westfalen,2020-03-13 21:00:00,936,3
Rheinland-Pfalz,2020-03-13 21:00:00,102,
Saarland,2020-03-13 21:00:00,40,
Sachsen,2020-03-13 21:00:00,83,
Sachsen-Anhalt,2020-03-13 21:00:00,42,
Schleswig-Holstein,2020-03-13 21:00:00,48,
Thüringen,2020-03-13 21:00:00,29,
Gesamt,2020-03-13 21:00:00,3.062,5
