,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-21 12:00:00,3668,16
1,Bayern,2020-03-21 12:00:00,2960,19
2,Berlin,2020-03-21 12:00:00,866,1
3,Brandenburg,2020-03-21 12:00:00,254,0
4,Bremen,2020-03-21 12:00:00,142,0
5,Hamburg,2020-03-21 12:00:00,587,0
6,Hessen,2020-03-21 12:00:00,1080,2
7,Mecklenburg-Vor­pommern,2020-03-21 12:00:00,165,0
8,Niedersachsen,2020-03-21 12:00:00,1023,0
9,Nordrhein-West­falen,2020-03-21 12:00:00,3542,6
10,Rhein­land-Pfalz,2020-03-21 12:00:00,938,1
11,Saarland,2020-03-21 12:00:00,187,0
12,Sachsen,2020-03-21 12:00:00,567,0
13,Sachsen-Anhalt,2020-03-21 12:00:00,188,0
14,Schles­wig-Holstein,2020-03-21 12:00:00,308,1
15,Thüringen,2020-03-21 12:00:00,187,0
16,Gesamt,2020-03-21 12:00:00,16662,46
