,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-26 12:00:00,7283,56.0
1,Bayern,2020-03-26 12:00:00,7993,47.0
2,Berlin,2020-03-26 12:00:00,1656,4.0
3,Brandenburg,2020-03-26 12:00:00,477,1.0
4,Bremen,2020-03-26 12:00:00,211,1.0
5,Hamburg,2020-03-26 12:00:00,1265,
6,Hessen,2020-03-26 12:00:00,2157,6.0
7,Mecklenburg-Vor­pommern,2020-03-26 12:00:00,244,
8,Niedersachsen,2020-03-26 12:00:00,2347,8.0
9,Nordrhein-West­falen,2020-03-26 12:00:00,7924,53.0
10,Rhein­land-Pfalz,2020-03-26 12:00:00,1816,6.0
11,Saarland,2020-03-26 12:00:00,433,2.0
12,Sachsen,2020-03-26 12:00:00,1141,7.0
13,Sachsen-Anhalt,2020-03-26 12:00:00,418,1.0
14,Schles­wig-Holstein,2020-03-26 12:00:00,675,3.0
15,Thüringen,2020-03-26 12:00:00,468,3.0
16,Gesamt,2020-03-26 12:00:00,36508,198.0
