,Bundesland,date,confirmed,deaths
0,Baden-Württemberg,2020-03-19 08:11:00,1609,2
1,Bayern,2020-03-19 08:11:00,1243,4
2,Berlin,2020-03-19 08:11:00,391,0
3,Brandenburg,2020-03-19 08:11:00,92,0
4,Bremen,2020-03-19 08:11:00,69,0
5,Hamburg,2020-03-19 08:11:00,358,0
6,Hessen,2020-03-19 08:11:00,432,0
7,Mecklenburg-Vorpommern,2020-03-19 08:11:00,56,0
8,Niedersachsen,2020-03-19 08:11:00,478,0
9,Nordrhein-Westfalen,2020-03-19 08:11:00,2372,6
10,Rheinland-Pfalz,2020-03-19 08:11:00,474,0
11,Saarland,2020-03-19 08:11:00,88,0
12,Sachsen,2020-03-19 08:11:00,198,0
13,Sachsen-Anhalt,2020-03-19 08:11:00,105,0
14,Schleswig-Holstein,2020-03-19 08:11:00,159,0
15,Thüringen,2020-03-19 08:11:00,74,0
16,Gesamt,2020-03-19 08:11:00,8198,12
