,Bundesland,date,confirmed,deaths
0,Baden-Württemberg,2020-03-18 21:37:00,1609,2
1,Bayern,2020-03-18 21:37:00,12429999999999999,4
2,Berlin,2020-03-18 21:37:00,3910,0
3,Brandenburg,2020-03-18 21:37:00,920,0
4,Bremen,2020-03-18 21:37:00,690,0
5,Hamburg,2020-03-18 21:37:00,3580,0
6,Hessen,2020-03-18 21:37:00,4320,0
7,Mecklenburg-Vorpommern,2020-03-18 21:37:00,560,0
8,Niedersachsen,2020-03-18 21:37:00,4780,0
9,Nordrhein-Westfalen,2020-03-18 21:37:00,2372,6
10,Rheinland-Pfalz,2020-03-18 21:37:00,4740,0
11,Saarland,2020-03-18 21:37:00,880,0
12,Sachsen,2020-03-18 21:37:00,1980,0
13,Sachsen-Anhalt,2020-03-18 21:37:00,1050,0
14,Schleswig-Holstein,2020-03-18 21:37:00,1590,0
15,Thüringen,2020-03-18 21:37:00,740,0
16,Gesamt,2020-03-18 21:37:00,8198,12
