,Unnamed: 0,Bundesland,confirmed,confirmed_el,extra,date,deaths
0,0,Baden-Württemberg,827,524 (2),,2020-03-15 21:00:00,3
1,1,Bayern,886,804 (1),,2020-03-15 21:00:00,4
2,2,Berlin,265,265,,2020-03-15 21:00:00,
3,3,Brandenburg,84,56,,2020-03-15 21:00:00,
4,4,Bremen,53,53,,2020-03-15 21:00:00,
5,5,Hamburg,162,162,,2020-03-15 21:00:00,
6,6,Hessen,286,207,,2020-03-15 21:00:00,
7,7,Mecklenburg-Vorpommern,50,33,,2020-03-15 21:00:00,
8,8,Niedersachsen,287,238,,2020-03-15 21:00:00,
9,9,Nordrhein-Westfalen,1.407,1.407 (5),Landkreis Heinsberg,2020-03-15 21:00:00,5
10,10,Rheinland-Pfalz,168,168,,2020-03-15 21:00:00,
11,11,Saarland,32,32,,2020-03-15 21:00:00,
12,12,Sachsen,130,91,,2020-03-15 21:00:00,
13,13,Sachsen-Anhalt,47,40,,2020-03-15 21:00:00,
14,14,Schleswig-Holstein,103,79,,2020-03-15 21:00:00,
15,15,Thüringen,51,36,,2020-03-15 21:00:00,
16,16,Gesamt,4.838,4.195 (8),,2020-03-15 21:00:00,12
