,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-22 21:00:00,3807,21.0
1,Bayern,2020-03-22 21:00:00,3650,21.0
2,Berlin,2020-03-22 21:00:00,1024,1.0
3,Brandenburg,2020-03-22 21:00:00,274,
4,Bremen,2020-03-22 21:00:00,165,
5,Hamburg,2020-03-22 21:00:00,872,
6,Hessen,2020-03-22 21:00:00,1175,2.0
7,Mecklenburg-Vor­pommern,2020-03-22 21:00:00,172,
8,Niedersachsen,2020-03-22 21:00:00,1306,1.0
9,Nordrhein-West­falen,2020-03-22 21:00:00,3545,6.0
10,Rhein­land-Pfalz,2020-03-22 21:00:00,1053,2.0
11,Saarland,2020-03-22 21:00:00,187,
12,Sachsen,2020-03-22 21:00:00,606,
13,Sachsen-Anhalt,2020-03-22 21:00:00,211,
14,Schles­wig-Holstein,2020-03-22 21:00:00,347,1.0
15,Thüringen,2020-03-22 21:00:00,216,
16,Gesamt,2020-03-22 21:00:00,18610,55.0
