,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-31 14:00:00,12334,165
1,Bayern,2020-03-31 14:00:00,14810,162
2,Berlin,2020-03-31 14:00:00,2575,13
3,Brandenburg,2020-03-31 14:00:00,798,2
4,Bremen,2020-03-31 14:00:00,294,4
5,Hamburg,2020-03-31 14:00:00,2191,9
6,Hessen,2020-03-31 14:00:00,3283,17
7,Mecklenburg-Vor­pommern,2020-03-31 14:00:00,366,1
8,Niedersachsen,2020-03-31 14:00:00,4063,34
9,Nordrhein-West­falen,2020-03-31 14:00:00,13225,117
10,Rhein­land-Pfalz,2020-03-31 14:00:00,2726,19
11,Saarland,2020-03-31 14:00:00,782,7
12,Sachsen,2020-03-31 14:00:00,1882,12
13,Sachsen-Anhalt,2020-03-31 14:00:00,680,6
14,Schles­wig-Holstein,2020-03-31 14:00:00,1120,9
15,Thüringen,2020-03-31 14:00:00,784,6
16,Gesamt,2020-03-31 14:00:00,61913,583
